Id,age,job,marital,education,default,Acc_balance,housing,loan,contact,day,month,duration,campaign,poutcome,deposit
1001,999,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,unknown,no
1002,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,unknown,no
1003,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,unknown,no
1004,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,unknown,no
1005,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,unknown,no
1006,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,unknown,no
1007,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,unknown,no
1008,24,entrepreneur,divorced,tertiary,yes,0,yes,no,unknown,5,may,380,1,unknown,no
1009,58,retired,married,primary,no,0,yes,no,unknown,5,may,50,1,unknown,no
1010,43,technician,single,secondary,no,0,yes,no,unknown,5,may,55,1,unknown,no
1011,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,unknown,no
1012,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,unknown,no
1013,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,unknown,no
1014,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,unknown,no
1015,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,unknown,no
1016,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,unknown,no
1017,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,unknown,no
1018,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,unknown,no
1019,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,unknown,no
1020,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,unknown,no
1021,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,unknown,no
1022,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,unknown,no
1023,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,unknown,no
1024,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,unknown,no
1025,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,unknown,no
1026,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,unknown,no
1027,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,unknown,no
1028,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,unknown,no
1029,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,unknown,no
1030,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,unknown,no
1031,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,unknown,no
1032,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,unknown,no
1033,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,unknown,no
1034,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,unknown,no
1035,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,unknown,no
1036,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,unknown,no
1037,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,unknown,no
1038,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,unknown,no
1039,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,unknown,no
1040,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,unknown,no
1041,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,unknown,no
1042,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,unknown,no
1043,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,unknown,no
1044,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,unknown,no
1045,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,unknown,no
1046,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,unknown,no
1047,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,unknown,no
1048,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,unknown,no
1049,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,unknown,no
1050,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,unknown,no
1051,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,unknown,no
1052,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,unknown,no
1053,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,unknown,no
1054,54,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,unknown,no
1055,32,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,unknown,no
1056,34,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,unknown,no
1057,43,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,unknown,no
1058,33,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,unknown,no
1059,32,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,unknown,no
1060,57,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,unknown,no
1061,42,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,unknown,no
1062,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,unknown,no
1063,57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,unknown,no
1064,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,unknown,no
1065,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,unknown,no
1066,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,unknown,no
1067,60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,unknown,no
1068,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,unknown,no
1069,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,unknown,no
1070,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,unknown,no
1071,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,unknown,no
1072,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,unknown,no
1073,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,unknown,no
1074,55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,unknown,no
1075,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,unknown,no
1076,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,unknown,no
1077,44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,unknown,no
1078,55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,unknown,no
1079,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,unknown,no
1080,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,unknown,no
1081,45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,unknown,no
1082,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,unknown,no
1083,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,unknown,no
1084,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,unknown,yes
1085,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,unknown,no
1086,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,unknown,no
1087,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,unknown,yes
1088,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,unknown,yes
1089,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,unknown,no
1090,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,unknown,no
1091,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,unknown,no
1092,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,unknown,no
1093,60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,unknown,no
1094,60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,unknown,no
1095,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,unknown,no
1096,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,unknown,no
1097,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,unknown,no
1098,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,unknown,no
1099,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,unknown,no
1100,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,unknown,no
1101,44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,unknown,no
1102,53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,unknown,no
1103,52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,unknown,no
1104,59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,unknown,no
1105,27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,unknown,no
1106,44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,unknown,no
